vertices edges initialCost finalCost time
1000 1500 444 212 74.03464770317078
10 11 4 2 0.0015597343444824219
50 612 291 248 0.13460564613342285 
100 990 511 368 0.3747541904449463 
100 990 498 361 0.5754890441894531 
100 990 482 362 0.368610143661499 
100 1237 636 469 1.0113060474395752 
100 1237 621 468 0.4033374786376953 
100 1237 603 479 0.31159353256225586 
100 2475 1276 1091 0.590214729309082 
100 2475 1240 1077 0.8861362934112549 
100 2475 1234 1074 0.6981163024902344 
500 5000 2449 1742 43.36943697929382 
500 5000 2431 1717 88.87840008735657  
500 5000 2445 1743 32.177215576171875 
500 5000 2390 1728 35.79406023025513 
500 5000 2408 1741 66.32162928581238 



